epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2039.54,0.53212,1.84589,1.1589,0.80283,0.78668,0.80568,0.75838,0.35421,1.75232,0.80756,0.000471617,0.000471617,0.000471617
2,3349.98,0.32988,1.08335,0.97978,0.75014,0.71517,0.73424,0.59222,0.71471,3.31815,1.34306,0.000914434,0.000914434,0.000914434
3,4655.86,0.33066,0.8988,0.97449,0.85692,0.8543,0.92891,0.82967,0.41382,0.98473,0.87894,0.00132357,0.00132357,0.00132357
4,5970.06,0.30792,0.82436,0.96923,0.88326,0.827,0.95578,0.83614,0.4227,1.14149,0.7628,0.00127742,0.00127742,0.00127742
5,7281.58,0.28447,0.7578,0.95769,0.90939,0.82822,0.894,0.62653,1.1068,1.19027,1.88369,0.0012269,0.0012269,0.0012269
6,8589.04,0.27068,0.72741,0.9475,0.90138,0.84685,0.93254,0.91538,0.29035,0.6578,0.77602,0.00117637,0.00117637,0.00117637
7,9901.94,0.25673,0.67726,0.94019,0.82017,0.86554,0.95752,0.92438,0.31745,0.80089,0.79976,0.00112585,0.00112585,0.00112585
8,11203.5,0.24151,0.61004,0.93436,0.88351,0.92105,0.9736,0.94294,0.32258,0.5748,0.80158,0.00107532,0.00107532,0.00107532
9,12510.8,0.23223,0.60173,0.93489,0.74661,0.82753,0.92173,0.91739,0.15643,1.05339,0.58329,0.0010248,0.0010248,0.0010248
10,13815.7,0.22485,0.58778,0.93188,0.92775,0.911,0.9818,0.97996,0.13276,0.46817,0.55787,0.000974272,0.000974272,0.000974272
11,15118.5,0.22641,0.59842,0.93264,0.86532,0.86665,0.94691,0.94691,0.15117,0.62433,0.5594,0.000923746,0.000923746,0.000923746
12,16422.7,0.19879,0.54539,0.91552,0.93682,0.93382,0.97762,0.9739,0.16958,0.39072,0.60736,0.000873221,0.000873221,0.000873221
13,17733.9,0.19193,0.49604,0.91319,0.89008,0.8928,0.98462,0.98452,0.13868,0.52716,0.53222,0.000822696,0.000822696,0.000822696
14,19020.7,0.20105,0.50813,0.9194,0.92138,0.94744,0.97283,0.96921,0.24178,0.45545,0.72937,0.00077217,0.00077217,0.00077217
15,20313.1,0.1769,0.4781,0.90931,0.95988,0.94584,0.98445,0.98445,0.12761,0.29563,0.57377,0.000721645,0.000721645,0.000721645
16,21601.5,0.17833,0.48249,0.90391,0.96899,0.9582,0.9878,0.9878,0.15389,0.3309,0.54223,0.00067112,0.00067112,0.00067112
17,22891.7,0.16727,0.44947,0.90881,0.97402,0.95117,0.99265,0.99261,0.14514,0.27663,0.58853,0.000620594,0.000620594,0.000620594
18,24188.2,0.15997,0.44037,0.91018,0.90386,0.90452,0.9919,0.9919,0.12645,0.36827,0.55721,0.000570069,0.000570069,0.000570069
19,25473.8,0.19186,0.37715,0.94965,0.96827,0.95392,0.99366,0.99366,0.1231,0.26533,0.56004,0.000519544,0.000519544,0.000519544
20,26752.2,0.16176,0.2878,0.92947,0.97524,0.9788,0.99019,0.99019,0.11772,0.24354,0.57257,0.000469018,0.000469018,0.000469018
21,28039.7,0.15327,0.25076,0.9124,0.95866,0.96006,0.99189,0.99189,0.10056,0.26258,0.52355,0.000418493,0.000418493,0.000418493
22,29320.2,0.14021,0.24828,0.90609,0.95059,0.96543,0.98963,0.98963,0.1149,0.2069,0.54191,0.000367967,0.000367967,0.000367967
23,30718.8,0.13795,0.21333,0.91494,0.98554,0.95384,0.99123,0.99123,0.07238,0.18076,0.50728,0.000317442,0.000317442,0.000317442
24,32034.7,0.12427,0.21709,0.8997,0.97071,0.96961,0.9938,0.9938,0.04741,0.21925,0.50196,0.000266917,0.000266917,0.000266917
25,33329.6,0.12327,0.16572,0.89422,0.97081,0.95205,0.99197,0.99197,0.10826,0.24586,0.51607,0.000216391,0.000216391,0.000216391
26,34626.7,0.12226,0.16645,0.90686,0.971,0.9595,0.99289,0.99289,0.07172,0.16475,0.50488,0.000165866,0.000165866,0.000165866
27,35950.6,0.11638,0.15108,0.9018,0.95277,0.97183,0.99265,0.99265,0.05131,0.16433,0.50694,0.000115341,0.000115341,0.000115341
28,37313.4,0.105,0.17007,0.89038,0.98656,0.98585,0.99426,0.99426,0.04881,0.15379,0.49949,6.48154e-05,6.48154e-05,6.48154e-05
